AvailabilityDate,BasedOn.Name,ConfigureDuringSale,CurrencyIsoCode,Description,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type,DisplayUrl
,Processor,Allowed,USD,"Intel Xeon E5-2609 v4 1.7GHz,20M Cache,6.4GT/s QPI,Turbo,HT 8C/8T (85W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,TRUE,TRUE,FALSE,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,,,,/resource/RLM_quantumBit_logo_sq
,Server,Allowed,USD,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",Bundle,TRUE,TRUE,FALSE,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,Bundle,/resource/RLM_quantumBit_logo_sq
2024-02-01T20:00:00.000+0000,Subscription,Allowed,USD,Test Subscription Product,Software,TRUE,TRUE,FALSE,Subscription,SUB,Each,SUB,,/resource/RLM_quantumBit_logo_sq
,Memory,Allowed,USD,16GB RDIMM,Hardware,TRUE,TRUE,FALSE,16GB RDIMM,QB-MEM 16GB,Each,,,/resource/RLM_quantumBit_logo_sq
,Hard_Drive,Allowed,USD,8TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,TRUE,TRUE,FALSE,8TB 7.2k RPM NLSAS,QB-HD 8TB,Each,,,/resource/RLM_quantumBit_logo_sq
,Hard_Drive,Allowed,USD,"8TB 7.2k RPM Self-Encrypting NLSAS 12Gps 3.5 in - Performing like any other hard drive, with the encryption being completely transparent or invisible to the user.",Hardware,TRUE,TRUE,FALSE,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,Each,,,/resource/RLM_quantumBit_logo_sq
,Network_Adapter,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,Hardware,TRUE,TRUE,FALSE,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,,/resource/RLM_quantumBit_logo_sq
,Professional_Services_Bundle,Allowed,USD,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",Bundle,TRUE,TRUE,FALSE,QuantumBit Services Project,QB-BDL-SRVC,,,Bundle,/resource/RLM_quantumBit_logo_sq
,Cables,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,Configured Power Cable,QB-CMPC-5887,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",Hardware,TRUE,TRUE,FALSE,TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",Hardware,TRUE,TRUE,FALSE,TX Bolt-Down Kit,QB-BSSA-4304,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Rack PDU 30A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,TRUE,TRUE,FALSE,"Rack PDU 30A, 120V L5-20",QB-PDU-2023,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Rack PDU 15A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,TRUE,TRUE,FALSE,"Rack PDU 15A, 120V L5-20",QB-PDU-2024,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Rack PDU 20A, 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,TRUE,TRUE,FALSE,"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Rack PDU 10A 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,Hardware,TRUE,TRUE,FALSE,"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Rack PDU 16A 230V C20 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,Hardware,TRUE,TRUE,FALSE,"Rack PDU 16A, 230V, C13 output",QB-PDU-2027,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Rack PDU 14.4kW, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,TRUE,TRUE,FALSE,"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Rack PDU 5.7W, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,TRUE,TRUE,FALSE,"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,No Operating System,None,TRUE,TRUE,FALSE,No Operating System,QB-NO-OSYS,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,vSphere Standard provides an entry solution for basic consolidation of applications to slash hardware costs while accelerating application deployment.,3rd Party Software,TRUE,TRUE,FALSE,vSphere Standard,QB-VMW-S,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"vSphere Enterprise includes the full range of vSphere features for transforming datacenters into dramatically simplified cloud computing environments providing the next generation of flexible, reliable IT services.",3rd Party Software,TRUE,TRUE,FALSE,vSphere Enterprise,QB-VMW-E,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Installation and Assembly of a QuantumBit Rack by a Certified technician.,Services,TRUE,TRUE,FALSE,Installation and Assembly,QB-INST-1000,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Professional services billed at the end of each month based on consumed hours.,Services,TRUE,TRUE,FALSE,Professional Service Hours (Consumption),QB-SRV-OG-PSHC,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Red Hat Enterprise Linux delivers military-grade security, 99.999% uptime, support for business-critical workloads.",3rd Party Software,TRUE,TRUE,FALSE,Red Hat Enterprise Linux,QB-REDHAT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"vSphere Desktop can be used to power virtual desktops, as well as the underlying infrastructure for the VDI environment.",3rd Party Software,TRUE,TRUE,FALSE,vSphere Desktop,QB-VMW-D,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Upgrade, Bug Fixes, and Patched for Perpetual Licenses.
Early Access to BETA Releases. Upgrade and Patch Assistance. 20% of Licensing",Services,TRUE,TRUE,FALSE,Software Maintenance,QB-SUPP-2000,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",Software,TRUE,TRUE,FALSE,Additional Flows - QB Enterprise,QB-FLO-ENTR,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",Software,TRUE,TRUE,FALSE,Additional Messages - QB Enterprise,QB-MSG-ENTR,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Rack PDU 20A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,TRUE,TRUE,FALSE,"Rack PDU 20A, 120V L5-20",QB-PDU-2022,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,TRUE,TRUE,FALSE,Additional API Pre-Prod,QB-API-PREP,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,TRUE,TRUE,FALSE,Additional API Gov,QB-API-GOVT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,TRUE,TRUE,FALSE,Additional API Flex (100M),QB-API-FLEX,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"With QuantumBit DataGraph, you can reuse multiple APIs in a single request. Enterprise architects can easily unify APIs into one data service — all without writing more code. Developers can consume multiple APIs from the data service in a single GraphQL request.",Software,TRUE,TRUE,FALSE,Additional QB DataGraph (500M),QB-DAT-GRPH,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"The Program Director provides executive leadership, subject matter expertise, and program oversight.",Services,TRUE,TRUE,FALSE,Program Director,QB-SRV-PD,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Our Solution Architects are responsible for analyzing customer requirements and designing the optimal solution capabilities.,Services,TRUE,TRUE,FALSE,Solutions Architect,QB-SRV-SAT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"The Project Manager ensures a projects timely and efficient delivery by coordinating meetings, tracking progress, escalating issues, and proctoring weekly status reports.",Services,TRUE,TRUE,FALSE,Project Manager,QB-SRV-PMN,,,,/resource/RLM_quantumBit_logo_sq
,Engineering_Resources,Allowed,USD,Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,Services,TRUE,TRUE,FALSE,Implementation Engineer,QB-SRV-IMP,,,,/resource/RLM_quantumBit_logo_sq
,Engineering_Resources,Allowed,USD,Our certified Integration Specialist Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,Services,TRUE,TRUE,FALSE,Integration Specialist Engineer,QB-SRV-ISE,,,,/resource/RLM_quantumBit_logo_sq
,Engineering_Resources,Allowed,USD,"Our certified Module Extension Engineers specialize in configuring and customizing the additional modules to a clients specifications, and work closely with the Core System Engineers.",Services,TRUE,TRUE,FALSE,Module Extension Engineer,QB-SRV-MEE,,,,/resource/RLM_quantumBit_logo_sq
,Engineering_Resources,Allowed,USD,Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.,Services,TRUE,TRUE,FALSE,Quality Assurance Engineer,QB-SRV-QAE,,,,/resource/RLM_quantumBit_logo_sq
,Engineering_Resources,Allowed,USD,"Data Normalization Experts engage early in the project and assist customers in normalizing, cleaning, and de-duping data, and can perform upload and update functions.",Services,TRUE,TRUE,FALSE,Data Normalization Expert,QB-SRV-DNE,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Increase productivity by managing all your APIs and microservices from one place.,Software,TRUE,TRUE,FALSE,QB API Management Solution,QB-API-MGMT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",Software,TRUE,TRUE,FALSE,Additional Flows - QB Starter,QB-FLO-STRT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",Software,TRUE,TRUE,FALSE,Additional Messages - QB Starter,QB-MSG-STRT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Data throughput counts when the deployed application transfers data to execute its business logic, including but not limited to internal operational network traffic for monitoring, logs, and health checks. Data throughput is aggregated as a sum of all bytes during a month.",Software,TRUE,TRUE,FALSE,Additional Data Throughput (TB),QB-DAT-THPT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.,Hardware,TRUE,TRUE,FALSE,Blanking Panel,QB-BSSA-4298,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.",Hardware,TRUE,TRUE,FALSE,Sliding Shelf 200lbs,QB-BSSA-4300,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.",Hardware,TRUE,TRUE,FALSE,Fixed Shelf 250lbs,QB-BSSA-4302,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,Hardware,TRUE,TRUE,FALSE,Roof Fan Tray 750mm - 120V,QB-BSSA-4306,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,Hardware,TRUE,TRUE,FALSE,Roof Fan Tray 750mm - 208V,QB-BSSA-4308,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.",Bundle,TRUE,TRUE,FALSE,QuantumBit Rack Enclosure,QB-BDL-RAXS,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Basic Consulting package for implementation managed by 3rd party SI/Partner on Fixed Fee basis.,Services,TRUE,TRUE,FALSE,Quick Start Enablement,QB-SRV-QSE,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Professional Services - Associate Consultant Daily Rate,Services,TRUE,TRUE,FALSE,Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,One-time fee to access premium customer success services as you navigate your data transformation.,Services,TRUE,TRUE,FALSE,"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the standard success plan for access to documentation, online case management and phone support.",Services,TRUE,TRUE,FALSE,Standard Success Plan,QB-STD-SP,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Professional project management services option to be priced on a per-day basis.,Services,TRUE,TRUE,FALSE,Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the premium success plan for everything included in the standard plan AND direct access to our advanced support team 24/7.",Services,TRUE,TRUE,FALSE,Premium Success Plan,QB-SRV-PRM-SP,,,,/resource/RLM_quantumBit_logo_sq
