$$ChildProduct.Name$ParentProduct.Name$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.Name,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.Name,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
Additional Messages - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Messages - QB Starter,01tal000000Vw2CAAS,BundleComponent,,,false,0dSal0000000QyHEAU,false,false,true,,,PRC-000000025,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,5,,30
Additional Flows - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Flows - QB Starter,01tal000000Vw2AAAS,BundleComponent,,,false,0dSal0000000QyIEAU,false,false,true,,,PRC-000000026,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,5,,40
Additional Data Throughput (TB);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Data Throughput (TB),01tal000000Vw2EAAS,BundleComponent,,,false,0dSal0000000QyJEAU,false,false,true,,,PRC-000000027,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,5,,50
Additional Automation QB Credits;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Automation QB Credits,01tal000000Vw2FAAS,BundleComponent,,,false,0dSal0000000QyKEAU,false,false,true,,,PRC-000000028,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,25,,60
Additional API;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional API,01tal000000Vw1gAAC,BundleComponent,,,false,0dSal0000000QyLEAU,true,true,true,,,PRC-000000029,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,10,,20
Implementation Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Implementation Engineer,01tal000000Vw1RAAS,BundleComponent,,,false,0dSal0000000QyMEAU,false,false,true,,,PRC-000000030,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al000000009uAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,1
Quality Assurance Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Quality Assurance Engineer,01tal000000Vw1eAAC,BundleComponent,,,false,0dSal0000000QyNEAU,false,false,true,,,PRC-000000031,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al000000009uAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,4
Module Extension Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Module Extension Engineer,01tal000000Vw1dAAC,BundleComponent,,,false,0dSal0000000QyOEAU,false,false,true,,,PRC-000000032,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al000000009uAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,3
Integration Specialist Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Integration Specialist Engineer,01tal000000Vw1cAAC,BundleComponent,,,false,0dSal0000000QyPEAU,false,false,true,,,PRC-000000033,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al000000009uAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,5
Data Normalization Expert;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Data Normalization Expert,01tal000000Vw1fAAC,BundleComponent,,,false,0dSal0000000QyQEAU,false,false,true,,,PRC-000000034,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al000000009uAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,2
QuantumBit Services Project;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,QuantumBit Services Project,01tal000000Vw1QAAS,BundleComponent,,,false,0dSal0000000QyREAU,false,false,false,,,PRC-000000035,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7al000000009nAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,,50
1TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,1TB 7.2k RPM NLSAS,01tal000000Vw1bAAC,BundleComponent,,,true,0dSal0000000QySEAU,false,true,false,,,PRC-000000036,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al000000009pAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,1
4TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,4TB 7.2k RPM NLSAS,01tal000000Vw1iAAC,BundleComponent,,,true,0dSal0000000QyTEAU,false,false,false,,,PRC-000000037,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al000000009pAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,2
8TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,8TB 7.2k RPM NLSAS,01tal000000Vw1NAAS,BundleComponent,,,true,0dSal0000000QyUEAU,false,false,false,,,PRC-000000038,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al000000009pAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,3
8TB 7.2k RPM Self-Encrypting NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,8TB 7.2k RPM Self-Encrypting NLSAS,01tal000000Vw1OAAS,BundleComponent,,,true,0dSal0000000QyVEAU,false,false,false,,,PRC-000000039,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al000000009pAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,4
Intel Xeon E5-2667 v4 3.2GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2667 v4 3.2GHz,01tal000000Vw1XAAS,BundleComponent,,,true,0dSal0000000QyWEAU,false,true,false,,,PRC-000000040,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al000000009qAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,1
Intel Xeon E5-2609 v4 1.7GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2609 v4 1.7GHz,01tal000000Vw1KAAS,BundleComponent,,,true,0dSal0000000QyXEAU,false,false,false,,,PRC-000000041,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al000000009qAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,2
Intel Xeon E5-2660 v4 2.0GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2660 v4 2.0GHz,01tal000000Vw1VAAS,BundleComponent,,,true,0dSal0000000QyYEAU,false,false,false,,,PRC-000000042,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al000000009qAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,3
Intel Xeon E5-2683 v4 2.1GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2683 v4 2.1GHz,01tal000000Vw1ZAAS,BundleComponent,,,true,0dSal0000000QyZEAU,false,false,false,,,PRC-000000043,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al000000009qAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,4
Intel X710 Dual Port 10Gb Direct Attach;PowerSwerve R750 Rack Server;Network Adapter;Bundle to Bundle Component Relationship,Intel X710 Dual Port 10Gb Direct Attach,01tal000000Vw1kAAC,BundleComponent,,,true,0dSal0000000QyaEAE,false,true,false,,,PRC-000000044,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7al000000009tAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,1
Intel X710 Dual Port 10Gb SFP;PowerSwerve R750 Rack Server;Network Adapter;Bundle to Bundle Component Relationship,Intel X710 Dual Port 10Gb SFP,01tal000000Vw1PAAS,BundleComponent,,,true,0dSal0000000R8HEAU,false,false,false,,,PRC-000000045,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7al000000009tAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,2
Program Director;QuantumBit Services Project;Project_Management;Bundle to Bundle Component Relationship,Program Director,01tal000000Vw2kAAC,BundleComponent,,,false,0dSal0000000R8IEAU,false,false,true,,,PRC-000000046,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Project_Management;QuantumBit Services Project,0y7al000000009sAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,1
Project Manager;QuantumBit Services Project;Project_Management;Bundle to Bundle Component Relationship,Project Manager,01tal000000Vw2mAAC,BundleComponent,,,false,0dSal0000000R8JEAU,true,true,true,,,PRC-000000047,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Project_Management;QuantumBit Services Project,0y7al000000009sAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,2
Solutions Architect;QuantumBit Services Project;Solution_Architecture;Bundle to Bundle Component Relationship,Solutions Architect,01tal000000Vw2lAAC,BundleComponent,,,false,0dSal0000000R8KEAU,false,true,true,,,PRC-000000048,QuantumBit Services Project,01tal000000Vw1QAAS,Bundle,,,Solution_Architecture;QuantumBit Services Project,0y7al000000009rAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,8,,1
8GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,8GB RDIMM,01tal000000Vw1jAAC,BundleComponent,,,true,0dSal0000000R8LEAU,false,true,false,,,PRC-000000049,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7al000000009oAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,1
16GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,16GB RDIMM,01tal000000Vw1MAAS,BundleComponent,,,true,0dSal0000000R8MEAU,false,false,false,,,PRC-000000050,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7al000000009oAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,2
32GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,32GB RDIMM,01tal000000Vw1aAAC,BundleComponent,,,true,0dSal0000000R8NEAU,false,false,false,,,PRC-000000051,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7al000000009oAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,3
